"","ts","value","yr"
"373",2022-11-24 21:00:00,1066,"2022"
"374",2022-11-24 21:15:00,1065,"2022"
"375",2022-11-24 21:30:00,1065,"2022"
"376",2022-11-24 21:45:00,1065,"2022"
"377",2022-11-24 22:00:00,1065,"2022"
"378",2022-11-24 22:15:00,1065,"2022"
"379",2022-11-24 22:30:00,1065,"2022"
"380",2022-11-24 22:45:00,1065,"2022"
"381",2022-11-24 23:00:00,1065,"2022"
"382",2022-11-24 23:15:00,1065,"2022"
"383",2022-11-24 23:30:00,1065,"2022"
"384",2022-11-24 23:45:00,1065,"2022"
"385",2022-11-25,1065,"2022"
"386",2022-11-25 00:15:00,1065,"2022"
"387",2022-11-25 00:30:00,1065,"2022"
"388",2022-11-25 00:45:00,1065,"2022"
"389",2022-11-25 01:00:00,1065,"2022"
"390",2022-11-25 01:15:00,1065,"2022"
"391",2022-11-25 01:30:00,1065,"2022"
"392",2022-11-25 01:45:00,1065,"2022"
"393",2022-11-25 02:00:00,1065,"2022"
"394",2022-11-25 02:15:00,1065,"2022"
"395",2022-11-25 02:30:00,1065,"2022"
"396",2022-11-25 02:45:00,1065,"2022"
"397",2022-11-25 03:00:00,1065,"2022"
"398",2022-11-25 03:15:00,1065,"2022"
"399",2022-11-25 03:30:00,1065,"2022"
"400",2022-11-25 03:45:00,1065,"2022"
"401",2022-11-25 04:00:00,1065,"2022"
"402",2022-11-25 04:15:00,1065,"2022"
"403",2022-11-25 04:30:00,1065,"2022"
"404",2022-11-25 04:45:00,1065,"2022"
"405",2022-11-25 05:00:00,1065,"2022"
"406",2022-11-25 05:15:00,1065,"2022"
"407",2022-11-25 05:30:00,1065,"2022"
"408",2022-11-25 05:45:00,1065,"2022"
"409",2022-11-25 06:00:00,1065,"2022"
"410",2022-11-25 06:15:00,1065,"2022"
"411",2022-11-25 06:30:00,1065,"2022"
"412",2022-11-25 06:45:00,1065,"2022"
"413",2022-11-25 07:00:00,1065,"2022"
"414",2022-11-25 07:15:00,1065,"2022"
"415",2022-11-25 07:30:00,1065,"2022"
"416",2022-11-25 07:45:00,1065,"2022"
"417",2022-11-25 08:00:00,1065,"2022"
"418",2022-11-25 08:15:00,1065,"2022"
"419",2022-11-25 08:30:00,1065,"2022"
"420",2022-11-25 08:45:00,1065,"2022"
"421",2022-11-25 09:00:00,1065,"2022"
"422",2022-11-25 09:15:00,1065,"2022"
"423",2022-11-25 09:30:00,1065,"2022"
"424",2022-11-25 09:45:00,1065,"2022"
"425",2022-11-25 10:00:00,1065,"2022"
"426",2022-11-25 10:15:00,1065,"2022"
"427",2022-11-25 10:30:00,1065,"2022"
"428",2022-11-25 10:45:00,1065,"2022"
"429",2022-11-25 11:00:00,1065,"2022"
"430",2022-11-25 11:15:00,1065,"2022"
"431",2022-11-25 11:30:00,1065,"2022"
"432",2022-11-25 11:45:00,1065,"2022"
"433",2022-11-25 12:00:00,1065,"2022"
"434",2022-11-25 12:15:00,1065,"2022"
"435",2022-11-25 12:30:00,1065,"2022"
"436",2022-11-25 12:45:00,1065,"2022"
"437",2022-11-25 13:00:00,1065,"2022"
"438",2022-11-25 13:15:00,1065,"2022"
"439",2022-11-25 13:30:00,1065,"2022"
"440",2022-11-25 13:45:00,1065,"2022"
"441",2022-11-25 14:00:00,1065,"2022"
"442",2022-11-25 14:15:00,1065,"2022"
"443",2022-11-25 14:30:00,1065,"2022"
"444",2022-11-25 14:45:00,1065,"2022"
"445",2022-11-25 15:00:00,1065,"2022"
"446",2022-11-25 15:15:00,1065,"2022"
"447",2022-11-25 15:30:00,1065,"2022"
"448",2022-11-25 15:45:00,1065,"2022"
"449",2022-11-25 16:00:00,1065,"2022"
"450",2022-11-25 16:15:00,1065,"2022"
"451",2022-11-25 16:30:00,1065,"2022"
"452",2022-11-25 16:45:00,1065,"2022"
"453",2022-11-25 17:00:00,1065,"2022"
"454",2022-11-25 17:15:00,1065,"2022"
"455",2022-11-25 17:30:00,1065,"2022"
"456",2022-11-25 17:45:00,1065,"2022"
"457",2022-11-25 18:00:00,1065,"2022"
"458",2022-11-25 18:15:00,1065,"2022"
"459",2022-11-25 18:30:00,1065,"2022"
"460",2022-11-25 18:45:00,1065,"2022"
"461",2022-11-25 19:00:00,1065,"2022"
"462",2022-11-25 19:15:00,1064,"2022"
"463",2022-11-25 19:30:00,1064,"2022"
"464",2022-11-25 19:45:00,1064,"2022"
"465",2022-11-25 20:00:00,1063,"2022"
"466",2022-11-25 20:15:00,1063,"2022"
"467",2022-11-25 20:30:00,1063,"2022"
"468",2022-11-25 20:45:00,1063,"2022"
"469",2022-11-25 21:00:00,1063,"2022"
"470",2022-11-25 21:15:00,1063,"2022"
"471",2022-11-25 21:30:00,1063,"2022"
"472",2022-11-25 21:45:00,1063,"2022"
"473",2022-11-25 22:00:00,1062,"2022"
"474",2022-11-25 22:15:00,1062,"2022"
"475",2022-11-25 22:30:00,1062,"2022"
"476",2022-11-25 22:45:00,1062,"2022"
"477",2022-11-25 23:00:00,1062,"2022"
"478",2022-11-25 23:15:00,1062,"2022"
"479",2022-11-25 23:30:00,1062,"2022"
"480",2022-11-25 23:45:00,1062,"2022"
"481",2022-11-26,1062,"2022"
"482",2022-11-26 00:15:00,1061,"2022"
"483",2022-11-26 00:30:00,1061,"2022"
"484",2022-11-26 00:45:00,1061,"2022"
"485",2022-11-26 01:00:00,1061,"2022"
"486",2022-11-26 01:15:00,1061,"2022"
"487",2022-11-26 01:30:00,1061,"2022"
"488",2022-11-26 01:45:00,1061,"2022"
"489",2022-11-26 02:00:00,1061,"2022"
"490",2022-11-26 02:15:00,1061,"2022"
"491",2022-11-26 02:30:00,1061,"2022"
"492",2022-11-26 02:45:00,1061,"2022"
"493",2022-11-26 03:00:00,1061,"2022"
"494",2022-11-26 03:15:00,1061,"2022"
"495",2022-11-26 03:30:00,1061,"2022"
"496",2022-11-26 03:45:00,1061,"2022"
"497",2022-11-26 04:00:00,1061,"2022"
"498",2022-11-26 04:15:00,1061,"2022"
"499",2022-11-26 04:30:00,1061,"2022"
"500",2022-11-26 04:45:00,1061,"2022"
"501",2022-11-26 05:00:00,1061,"2022"
"502",2022-11-26 05:15:00,1061,"2022"
"503",2022-11-26 05:30:00,1061,"2022"
"504",2022-11-26 05:45:00,1061,"2022"
"505",2022-11-26 06:00:00,1061,"2022"
"506",2022-11-26 06:15:00,1061,"2022"
"507",2022-11-26 06:30:00,1061,"2022"
"508",2022-11-26 06:45:00,1061,"2022"
"509",2022-11-26 07:00:00,1061,"2022"
"510",2022-11-26 07:15:00,1061,"2022"
"511",2022-11-26 07:30:00,1061,"2022"
"512",2022-11-26 07:45:00,1061,"2022"
"513",2022-11-26 08:00:00,1061,"2022"
"514",2022-11-26 08:15:00,1061,"2022"
"515",2022-11-26 08:30:00,1061,"2022"
"516",2022-11-26 08:45:00,1061,"2022"
"517",2022-11-26 09:00:00,1061,"2022"
"518",2022-11-26 09:15:00,1061,"2022"
"519",2022-11-26 09:30:00,1061,"2022"
"520",2022-11-26 09:45:00,1061,"2022"
"521",2022-11-26 10:00:00,1061,"2022"
"522",2022-11-26 10:15:00,1061,"2022"
"523",2022-11-26 10:30:00,1061,"2022"
"524",2022-11-26 10:45:00,1061,"2022"
"525",2022-11-26 11:00:00,1061,"2022"
"526",2022-11-26 11:15:00,1061,"2022"
"527",2022-11-26 11:30:00,1061,"2022"
"528",2022-11-26 11:45:00,1061,"2022"
"529",2022-11-26 12:00:00,1061,"2022"
"530",2022-11-26 12:15:00,1061,"2022"
"531",2022-11-26 12:30:00,1061,"2022"
"532",2022-11-26 12:45:00,1061,"2022"
"533",2022-11-26 13:00:00,1061,"2022"
"534",2022-11-26 13:15:00,1061,"2022"
"535",2022-11-26 13:30:00,1061,"2022"
"536",2022-11-26 13:45:00,1061,"2022"
"537",2022-11-26 14:00:00,1061,"2022"
"538",2022-11-26 14:15:00,1061,"2022"
"539",2022-11-26 14:30:00,1061,"2022"
"540",2022-11-26 14:45:00,1061,"2022"
"541",2022-11-26 15:00:00,1061,"2022"
"542",2022-11-26 15:15:00,1061,"2022"
"543",2022-11-26 15:30:00,1061,"2022"
"544",2022-11-26 15:45:00,1061,"2022"
"545",2022-11-26 16:00:00,1061,"2022"
"546",2022-11-26 16:15:00,1061,"2022"
"547",2022-11-26 16:30:00,1061,"2022"
"548",2022-11-26 16:45:00,1061,"2022"
"549",2022-11-26 17:00:00,1061,"2022"
"550",2022-11-26 17:15:00,1061,"2022"
"551",2022-11-26 17:30:00,1061,"2022"
"552",2022-11-26 17:45:00,1061,"2022"
"553",2022-11-26 18:00:00,1061,"2022"
"554",2022-11-26 18:15:00,1061,"2022"
"555",2022-11-26 18:30:00,1061,"2022"
"556",2022-11-26 18:45:00,1061,"2022"
"557",2022-11-26 19:00:00,1061,"2022"
"558",2022-11-26 19:15:00,1061,"2022"
"559",2022-11-26 19:30:00,1061,"2022"
"560",2022-11-26 19:45:00,1061,"2022"
"561",2022-11-26 20:00:00,1061,"2022"
"562",2022-11-26 20:15:00,1061,"2022"
"563",2022-11-26 20:30:00,1061,"2022"
"564",2022-11-26 20:45:00,1061,"2022"
"565",2022-11-26 21:00:00,1061,"2022"
"566",2022-11-26 21:15:00,1061,"2022"
"567",2022-11-26 21:30:00,1061,"2022"
"568",2022-11-26 21:45:00,1061,"2022"
"569",2022-11-26 22:00:00,1061,"2022"
"570",2022-11-26 22:15:00,1061,"2022"
"571",2022-11-26 22:30:00,1061,"2022"
"572",2022-11-26 22:45:00,1060,"2022"
"573",2022-11-26 23:00:00,1060,"2022"
"574",2022-11-26 23:15:00,1060,"2022"
"575",2022-11-26 23:30:00,1060,"2022"
"576",2022-11-26 23:45:00,1061,"2022"
"577",2022-11-27,1060,"2022"
"578",2022-11-27 00:15:00,1060,"2022"
"579",2022-11-27 00:30:00,1061,"2022"
"580",2022-11-27 00:45:00,1060,"2022"
"581",2022-11-27 01:00:00,1060,"2022"
"582",2022-11-27 01:15:00,1061,"2022"
"583",2022-11-27 01:30:00,1061,"2022"
