"","year","wood_type","311_","309_","310_","646_","648_","648_B2E","648_B2L","652_","655_","654_","860_","656_"
"128",1980,"earlywood",0.14074893931009,0.675014228799089,0.452067242162653,0.235724233983287,0.599873976055451,NA,NA,0.935678391959799,0.338665333666583,0.571741438810725,0.65995085995086,0.707765788077127
"129",1980,"latewood",0.125592417061611,0.365122615803815,0.277098270771826,0.25028801843318,0.488445378151261,NA,NA,0.452907174430466,0.162038955656859,0.52762730227519,0.971952817824378,0.433807626636312
"130",1980,NA,NA,NA,NA,NA,NA,0.52755905511811,0.941666666666667,NA,NA,NA,NA,NA
"131",1981,"earlywood",0.152554879173584,0.868525896414342,0.644706951385734,0.392989786443825,0.773787019533711,NA,NA,1,0.256560859785054,0.379346960445978,1,0.596792263694793
"132",1981,"latewood",0.103926878808395,0.586285195277021,0.633909742724589,0.451324884792627,0.221638655462185,NA,NA,0.510370622237334,0.311438043928719,0.577898158179848,0.765137614678899,0.542629482071713
"133",1981,NA,NA,NA,NA,NA,NA,0.791338582677165,0.647222222222222,NA,NA,NA,NA,NA
"134",1982,"earlywood",0.14074893931009,0.783722253841776,0.528850522489777,0.198932219127205,0.306868304977946,NA,NA,0.787437185929648,0.280304923769058,0.386381736129546,0.808353808353808,0.649330738840734
"135",1982,"latewood",0.10054163845633,0.470481380563124,0.660902572754112,0.286578341013825,0.355042016806723,NA,NA,0.359061543692622,0.614173228346457,0.876056338028169,0.634600262123198,0.508708025042686
"136",1982,NA,NA,NA,NA,NA,NA,0.319553805774278,0.676388888888889,NA,NA,NA,NA,NA
"137",1983,"earlywood",0.128942999446597,0.915765509391007,0.529304861426624,0.181754874651811,0.333333333333333,NA,NA,0.648743718592965,0.343914021494626,0.236063180249535,0.585421785421785,0.35969101951766
"138",1983,"latewood",0.10054163845633,1,1,1,0.444327731092437,NA,NA,0.179530771846311,0.622876087857439,1,0.941022280471822,0.523278315310188
"139",1983,NA,NA,NA,NA,NA,NA,0.402887139107612,0.558333333333333,NA,NA,NA,NA,NA
"140",1984,"earlywood",0.140564471499723,0.964143426294821,0.577010449795547,0.2161095636026,0.253308128544423,NA,NA,0.776381909547739,0.338540364908773,0.278205468542607,0.634070434070434,0.375788666784598
"141",1984,"latewood",0.139810426540284,0.509082652134423,0.615773935048503,0.329493087557604,0.199579831932773,NA,NA,0.517851071064264,0.298383754662246,0.6329360780065,0.406553079947575,0.335344336937962
"142",1984,NA,NA,NA,NA,NA,NA,0.402887139107612,0.294444444444445,NA,NA,NA,NA,NA
"143",1985,"earlywood",0.195351411178749,0.856004553215709,0.432985006815084,0.157149489322191,0.16005040957782,NA,NA,0.861809045226131,0.259185203699075,0.19949561985665,0.585257985257985,0.317117754584586
"144",1985,"latewood",0.104096140825999,0.249772933696639,0.196541543652467,0.304723502304147,0.199579831932773,NA,NA,0.316558993539612,0.236842105263158,0.440303358613218,0.401048492791612,0.178599886169607
"145",1985,NA,NA,NA,NA,NA,NA,0.263779527559055,0.323611111111111,NA,NA,NA,NA,NA
"146",1986,"earlywood",0.160302527209002,0.819009675583381,0.288505224897774,0.122794800371402,0.32010081915564,NA,NA,0.882914572864322,0.20094976255936,0.18131138837271,0.251433251433251,0.128663246653694
"147",1986,"latewood",0.147088693297224,0.508628519527702,0.277098270771826,0.219758064516129,0.422268907563025,NA,NA,0.409724583475009,0.302527973477,0.476923076923077,0.400786369593709,0.171314741035857
"148",1986,NA,NA,NA,NA,NA,NA,0.333333333333333,0.558333333333333,NA,NA,NA,NA,NA
"149",1987,"earlywood",0.187603763143331,0.529880478087649,0.442526124488869,0.10085886722377,0.213610586011342,NA,NA,0.819597989949749,0.187828042989253,0.106782585611893,0.209336609336609,0.151129193938322
"150",1987,"latewood",0.186526743398781,0.490009082652134,0.214677351328553,0.0547235023041475,0.310924369747899,NA,NA,0.481808908534512,0.372979693327808,0.64225352112676,0.456880733944954,0.373705179282868
"151",1987,NA,NA,NA,NA,NA,NA,0.180446194225722,0.411111111111111,NA,NA,NA,NA,NA
"152",1988,"earlywood",0.226710938941155,0.758679567444508,0.327124034529759,0.171657381615599,0.293635790800252,NA,NA,0.648743718592965,0.145463634091477,0.161600743297053,0.706470106470106,0.287222123945987
"153",1988,"latewood",0.154028436018957,0.307447774750227,0.240826655419654,0.280529953917051,0.310924369747899,NA,NA,0.150969058143489,0.333402403646913,0.568797399783315,1,0.306317586795675
"154",1988,NA,NA,NA,NA,NA,NA,0.27755905511811,0.470833333333333,NA,NA,NA,NA,NA
"155",1989,"earlywood",0.246264526840066,0.698918611269209,0.134938664243526,0.203922934076137,0.360428481411468,NA,NA,0.457286432160804,0.248562859285179,0.139102734271303,0.420966420966421,0.143581579102541
"156",1989,"latewood",0.422985781990521,0.633969118982743,0.143399409531843,0.585253456221198,0.377100840336134,NA,NA,0.0210812648758926,0.438665561541649,0.83943661971831,0.588466579292267,0.361639157655094
"157",1989,NA,NA,NA,NA,NA,NA,0.221784776902887,0.881944444444445,NA,NA,NA,NA,NA
"158",1990,"earlywood",0.363401586423169,0.759817871371656,0.432985006815084,0.476671309192201,0.400126023944549,NA,NA,0.414572864321608,0.201074731317171,0.189673480222989,0.521703521703522,0.168583053246064
"159",1990,"latewood",0.326167907921462,0.595367847411444,0.776887389287221,0.402649769585254,0.355042016806723,NA,NA,0.078884733083985,0.302735184417737,0.720260021668472,0.310615989515072,0.205122367672168
