"","year","wood_type","311_","309_","310_","646_","648_","648_B2E","648_B2L","652_","655_","654_","860_","656_"
"192",2001,"latewood",1.355,1.0695,1.291,0.7405,0.741,NA,NA,0.4445,0.921,0.9525,1.376,1.154
"193",2001,NA,NA,NA,NA,NA,NA,1.08,0.677,NA,NA,NA,NA,NA
"194",2002,"earlywood",1.2485,0.996,0.7095,1.556,1.308,NA,NA,0.6565,0.646,1.355,1.345,1.7785
"195",2002,"latewood",0.678,0.635,0.7835,0.815,0.529,NA,NA,0.466,0.667,0.5715,1.143,0.7195
"196",2002,NA,NA,NA,NA,NA,NA,1.502,0.381,NA,NA,NA,NA,NA
"197",2003,"earlywood",0.9745,0.762,0.6565,1.154,0.931,NA,NA,0.5715,0.646,1.3125,0.8685,1.069
"198",2003,"latewood",0.7515,0.572,0.5715,0.974,0.402,NA,NA,0.3815,0.868,0.434,0.8785,0.7305
"199",2003,NA,NA,NA,NA,NA,NA,0.677,0.529,NA,NA,NA,NA,NA
"200",2004,"earlywood",0.9735,0.836,0.5185,1.0055,1.588,NA,NA,0.72,0.8255,1.175,0.9955,1.3655
"201",2004,"latewood",1.239,0.8155,0.466,1.101,0.466,NA,NA,0.434,1.2805,0.6775,1.1395,1.059
"202",2004,NA,NA,NA,NA,NA,NA,1.291,0.72,NA,NA,NA,NA,NA
"203",2005,"earlywood",1.2385,0.985,0.5185,1.249,1.355,NA,NA,0.836,1.0165,1.3015,1.196,1.45
"204",2005,"latewood",1.016,0.815,0.529,0.8575,0.402,NA,NA,0.4765,1.27,0.6245,0.911,1.228
"205",2005,NA,NA,NA,NA,NA,NA,1.249,0.444,NA,NA,NA,NA,NA
"206",2006,"earlywood",1.154,0.837,0.6985,1.0375,1.016,NA,NA,0.868,0.762,1.2595,1.1645,1.3655
"207",2006,"latewood",1.164,0.7835,0.6455,0.6245,0.741,NA,NA,0.868,1.4815,0.614,1.154,1.175
"208",2006,NA,NA,NA,NA,NA,NA,1.736,0.487,NA,NA,NA,NA,NA
"209",2007,"earlywood",1.1225,0.7305,0.6455,0.72,1.037,NA,NA,0.868,0.476,1.048,1.0905,1.196
"210",2007,"latewood",0.8365,0.71,0.5505,0.7195,0.36,NA,NA,0.6035,0.815,0.466,1.334,1.2705
"211",2007,NA,NA,NA,NA,NA,NA,1.291,0.403,NA,NA,NA,NA,NA
"212",2008,"earlywood",1.111,0.8255,0.667,0.72,0.572,NA,NA,0.7935,0.36,1.1005,1.239,1.44
"213",2008,"latewood",0.54,0.4975,0.423,0.6455,0.296,NA,NA,0.4765,0.5085,0.529,1.027,1.2065
"214",2008,NA,NA,NA,NA,NA,NA,0.741,0.36,NA,NA,NA,NA,NA
"215",2009,"earlywood",0.9315,0.6885,0.624,0.688,0.551,NA,NA,0.7095,0.813,1.2065,0.9,1.376
"216",2009,"latewood",0.72,0.36,0.54,0.4765,0.275,NA,NA,0.328,0.508,0.4555,0.7625,0.868
"217",2009,NA,NA,NA,NA,NA,NA,0.72,0.085,NA,NA,NA,NA,NA
"218",2010,"earlywood",0.91,0.72,0.6665,0.741,0.783,NA,NA,0.7515,0.709,1.27,0.89,1.143
"219",2010,"latewood",1.0475,0.5505,0.508,0.656,0.698,NA,NA,0.381,1.143,0.6775,0.8885,0.6875
"220",2010,NA,NA,NA,NA,NA,NA,1.164,0.487,NA,NA,NA,NA,NA
"221",2011,"earlywood",1.0165,0.8265,0.8995,0.815,0.868,NA,NA,0.72,1.0265,1.27,0.688,1.08
"222",2011,"latewood",0.953,0.6775,0.709,0.688,0.36,NA,NA,0.4765,1.4605,0.688,0.868,0.9845
